2023-02-02 15:25:30,324 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:25:30,324 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:25:30,326 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:25:30,327 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:25:30,327 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:27:23,677 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:27:23,677 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:27:23,678 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:27:23,678 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:27:23,678 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:27:23,678 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:30:39,121 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:30:39,121 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:32:29,634 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:32:29,634 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:36:44,448 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:36:44,448 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:36:44,450 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:36:44,450 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:36:44,452 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:36:44,452 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:36:54,502 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:36:54,503 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:36:54,505 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:36:54,506 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:36:54,507 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:36:58,005 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:36:58,006 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:36:58,006 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:37:07,105 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 15:37:43,110 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 70:DA:93:F3:F8:BE
2023-02-02 15:39:04,753 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:39:06,766 | MainThread   | [ERROR   ] | _connect            |: Device with address D9:0F:02:E5:8C:CA was not found.
2023-02-02 15:39:07,779 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:39:07,779 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:39:16,612 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 15:40:41,350 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 47:D8:B9:34:4E:A9
2023-02-02 15:41:08,873 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:41:10,907 | MainThread   | [ERROR   ] | _connect            |: Device with address 10:D6:94:2D:7F:ED was not found.
2023-02-02 15:41:11,909 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:41:11,910 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:41:13,899 | MainThread   | [ERROR   ] | _connect            |: Device with address 35:12:C3:92:5C:65 was not found.
2023-02-02 15:41:14,901 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:41:14,902 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:41:20,866 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 15:48:59,579 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52:D6:1A:91:EB:C7
2023-02-02 15:49:23,898 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:49:23,899 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:49:23,901 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:49:49,761 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:49:49,761 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:49:49,762 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:49:57,116 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
